1008.79,-21.97,59.08,-20.40,86.65
1002.93,-19.04,72.75,-14.67,85.85
1005.86,-22.95,53.22,-23.33,86.97
1009.28,-22.95,62.99,-20.02,86.43
1000.00,-31.25,71.78,-23.53,85.89
1003.91,-21.48,60.06,-19.68,86.58
1010.74,-25.88,67.87,-20.87,86.16
999.02,-16.60,58.11,-15.95,86.67
1018.07,-25.88,58.11,-24.01,86.73
1014.16,-19.53,54.20,-19.82,86.94
1005.37,-24.90,62.99,-21.57,86.42
1005.37,-22.46,69.82,-17.83,86.03
1015.62,-30.76,57.62,-28.10,86.75
1005.37,-15.63,57.13,-15.30,86.75
1008.30,-29.30,65.92,-23.96,86.26
982.91,-12.21,44.92,-15.20,87.38
988.77,-17.58,74.22,-13.32,85.71
994.14,-21.00,57.62,-20.02,86.68
997.56,-21.97,67.87,-17.94,86.11
1003.42,-5.86,67.87,-4.93,86.13
1014.65,-23.93,57.62,-22.55,86.75
1006.84,-22.95,62.99,-20.02,86.42
1010.25,-9.28,64.45,-8.19,86.35
1006.84,-23.44,55.18,-23.01,86.86
1000.00,-23.93,60.06,-21.72,86.56
1008.79,-18.07,60.06,-16.74,86.59
1004.88,-11.23,65.92,-9.67,86.25
1010.25,-24.90,67.87,-20.15,86.16
998.54,-25.88,68.85,-20.60,86.06
998.54,-28.81,66.41,-23.45,86.20
1003.91,-18.07,56.64,-17.69,86.77
1009.28,-18.55,65.43,-15.83,86.29
999.51,-24.41,61.04,-21.80,86.51
1010.74,-21.48,62.01,-19.11,86.49
1000.00,-31.25,59.57,-27.68,86.59
1004.88,-13.18,66.89,-11.15,86.19
1012.70,-21.97,62.01,-19.51,86.50
1002.93,-29.30,52.25,-29.28,87.02
1003.91,-16.60,62.01,-14.99,86.47
1013.67,-20.02,59.08,-18.72,86.66
1010.25,-25.39,56.15,-24.33,86.82
1015.14,-17.09,65.92,-14.53,86.28
1007.81,-12.21,73.24,-9.46,85.84
1009.77,-23.44,73.24,-17.74,85.85
1000.00,-17.09,68.85,-13.94,86.06
1007.81,-18.55,64.45,-16.06,86.34
996.58,-20.51,66.41,-17.16,86.19
1008.79,-19.53,57.62,-18.73,86.73
1014.65,-15.14,61.52,-13.82,86.53
1009.28,-7.81,58.11,-7.66,86.71
1006.84,-23.44,65.43,-19.71,86.28
1010.25,-23.93,70.80,-18.67,85.99
999.51,-18.07,69.34,-14.60,86.03
1010.25,-21.48,61.04,-19.39,86.54
1003.42,-19.53,57.13,-18.87,86.74
988.77,-20.51,62.50,-18.17,86.38
994.14,-26.86,54.20,-26.36,86.88
1002.44,-20.02,62.01,-17.89,86.46
996.58,-4.88,65.92,-4.24,86.22
998.05,-18.55,58.11,-17.71,86.67
1001.95,-19.04,62.99,-16.82,86.40
1005.37,-18.07,65.92,-15.33,86.25
1011.72,-18.07,58.11,-17.27,86.71
995.12,-25.39,63.48,-21.80,86.35
995.12,-25.88,70.31,-20.21,85.96
998.54,-31.25,64.94,-25.70,86.28
1008.79,-23.44,67.87,-19.05,86.15
997.07,-24.90,59.57,-22.69,86.58
994.63,-19.53,62.99,-17.23,86.38
1008.79,-27.34,64.45,-22.99,86.34
995.61,-14.65,60.55,-13.60,86.52
997.56,-20.51,60.06,-18.85,86.55
1004.88,-22.95,61.52,-20.46,86.50
990.72,-25.88,59.57,-23.48,86.56
1008.79,-23.93,57.62,-22.55,86.73
1000.00,-22.46,65.43,-18.95,86.26
1009.77,-26.86,58.11,-24.81,86.71
1007.32,-17.09,57.13,-16.65,86.75
1003.42,-28.81,68.85,-22.71,86.07
1017.09,-7.81,56.15,-7.92,86.84
1009.28,-12.21,60.55,-11.40,86.57
1010.25,-22.95,57.62,-21.72,86.74
1001.46,-24.41,62.50,-21.34,86.43
1004.39,-19.04,67.87,-15.67,86.13
995.61,-26.86,54.69,-26.15,86.86
1003.91,-21.00,66.41,-17.55,86.22
1009.77,-17.58,64.45,-15.26,86.35
999.02,-19.04,68.85,-15.46,86.06
1006.35,-17.58,69.34,-14.23,86.06
1011.72,-26.86,69.82,-21.04,86.05
1014.16,-30.76,50.29,-31.45,87.16
988.28,-26.37,70.31,-20.56,85.93
1004.88,-22.95,73.73,-17.29,85.80
1007.32,-13.18,59.08,-12.58,86.64
994.14,-22.46,69.82,-17.83,85.98
1003.42,-20.51,67.87,-16.81,86.13
1010.25,-10.25,56.15,-10.35,86.82
