39.06,986.33,61.04,86.46,32.62
40.53,988.77,43.95,87.46,42.68
29.79,1005.86,59.57,86.61,26.57
33.69,996.09,62.01,86.44,28.52
41.50,999.02,54.69,86.87,37.20
32.71,995.12,54.20,86.88,31.12
15.14,994.14,47.36,87.27,17.72
35.16,996.09,46.88,87.31,36.87
37.60,989.26,56.64,86.72,33.58
27.34,992.68,60.06,86.54,24.48
37.11,994.14,54.69,86.85,34.16
30.27,998.54,45.90,87.37,33.41
21.00,991.21,56.15,86.76,20.50
35.16,982.42,47.85,87.21,36.30
28.81,990.23,56.64,86.73,26.96
30.76,999.51,41.50,87.62,36.54
30.76,991.21,46.88,87.29,33.27
26.86,993.16,50.29,87.10,28.10
29.30,984.86,44.43,87.42,33.40
34.67,982.91,55.18,86.79,32.14
39.06,997.07,49.32,87.17,38.38
41.99,1015.14,52.25,87.05,38.79
35.64,995.61,53.22,86.94,33.81
21.97,995.12,43.46,87.50,26.82
32.71,993.65,48.34,87.21,34.09
23.93,993.16,50.78,87.07,25.23
31.74,990.72,52.25,86.98,31.28
33.20,985.84,57.62,86.66,29.95
39.55,996.09,55.18,86.83,35.63
31.25,987.30,38.57,87.76,39.01
23.93,1004.88,63.48,86.39,20.65
25.88,1000.00,55.18,86.84,25.13
25.39,994.14,41.99,87.58,31.16
27.34,998.54,51.76,87.03,27.85
35.64,986.82,44.92,87.39,38.43
37.11,986.33,60.55,86.49,31.50
34.67,999.51,56.15,86.78,31.69
34.18,994.14,52.25,86.99,33.19
30.27,1000.00,45.41,87.40,33.69
29.79,973.14,52.73,86.90,29.46
21.97,989.26,58.59,86.61,20.56
34.67,990.72,48.83,87.18,35.37
25.39,996.09,41.50,87.61,31.46
30.27,1000.98,46.39,87.35,33.13
38.57,990.23,54.69,86.84,35.20
33.69,992.19,51.27,87.04,33.31
24.90,995.12,43.95,87.47,29.54
24.90,1000.98,43.46,87.51,29.81
38.09,1001.46,32.71,88.13,49.34
41.99,990.72,52.73,86.95,38.53
30.76,997.07,54.20,86.89,29.58
33.20,989.75,57.62,86.67,29.95
45.41,992.19,50.78,87.07,41.80
33.20,992.68,57.13,86.71,30.17
42.48,998.54,52.25,87.00,39.11
38.09,987.30,48.34,87.20,38.23
38.09,1004.39,59.08,86.63,32.81
25.39,1000.49,58.59,86.65,23.43
41.02,997.07,48.34,87.22,40.31
33.69,988.77,54.69,86.83,31.64
28.81,995.61,50.29,87.11,29.80
32.71,982.91,44.43,87.41,36.36
25.88,992.19,62.01,86.42,22.65
34.67,988.77,47.85,87.23,35.92
29.79,1000.98,55.66,86.82,28.15
35.16,997.07,41.50,87.62,40.27
35.16,981.93,46.39,87.30,37.16
30.27,994.14,55.66,86.80,28.54
36.13,999.02,53.71,86.92,33.93
23.44,1009.28,48.83,87.23,25.64
40.53,997.56,53.22,86.95,37.29
27.83,992.19,50.29,87.10,28.96
41.50,986.82,51.76,87.00,38.73
33.69,996.09,48.34,87.22,34.88
25.39,991.21,56.15,86.76,24.33
43.95,986.82,51.76,87.00,40.33
37.11,992.68,49.80,87.13,36.69
39.06,993.16,58.59,86.62,33.69
40.04,993.65,52.73,86.96,37.21
28.81,994.63,53.71,86.91,28.21
31.25,1008.79,59.57,86.62,27.68
27.83,983.89,53.71,86.88,27.39
40.04,1001.46,49.80,87.15,38.80
28.81,995.12,57.62,86.69,26.57
26.37,1003.42,48.83,87.21,28.37
24.41,995.61,58.59,86.63,22.62
28.32,989.75,44.43,87.43,32.51
34.18,996.09,53.22,86.94,32.71
41.50,1004.88,52.25,87.02,38.46
41.99,977.54,55.18,86.77,37.27
19.53,1006.35,55.66,86.83,19.33
22.46,991.21,44.43,87.43,26.82
30.27,996.09,52.25,87.00,30.09
34.67,1001.95,48.83,87.21,35.37
27.83,1004.88,44.92,87.44,31.78
31.25,999.02,44.92,87.43,34.82
39.06,994.14,46.39,87.33,40.10
30.76,997.56,53.22,86.95,30.03
26.37,988.77,56.15,86.75,25.15
33.20,999.02,52.73,86.98,32.20
29.30,986.82,44.92,87.39,33.11
32.23,987.30,40.04,87.68,38.83
36.62,995.61,55.66,86.80,33.34
32.23,995.12,53.71,86.91,30.96
18.55,990.23,63.48,86.33,16.29
28.32,995.12,47.85,87.25,30.62
